Engine,Base_Experiment,Clean_Accuracy_Mean,Clean_Accuracy_Std,Orig_Accuracy_Mean,Orig_Accuracy_Std,Expected_Instances_Total,Recorded_Instances_Avg
meta-llama/llama-3.3-70b-instruct,easy_predicates,0.19666666666666666,0.017559422921421236,0.13333333333333333,0.11250925887825114,200.0,200.0
meta-llama/llama-3.3-70b-instruct,hard_actions_objects_names,0.21166666666666667,0.015275252316519465,0.12333333333333334,0.1051586103623157,200.0,200.0
meta-llama/llama-3.3-70b-instruct,hard_actions_predicates_names,0.0033333333333333335,0.005773502691896258,0.006666666666666667,0.011547005383792516,200.0,200.0
meta-llama/llama-3.3-70b-instruct,hard_actions_predicates_objects,0.0,0.0,0.0016666666666666668,0.002886751345948129,200.0,200.0
meta-llama/llama-3.3-70b-instruct,hard_predicates_objects_names,0.08166666666666667,0.01040832999733066,0.055,0.03968626966596887,200.0,200.0
meta-llama/llama-3.3-70b-instruct,medium_actions_names,0.04,0.004999999999999996,0.03166666666666667,0.01892969448600091,200.0,200.0
meta-llama/llama-3.3-70b-instruct,medium_actions_objects,0.21999999999999997,0.013228756555322935,0.14833333333333332,0.11116804097101528,200.0,200.0
meta-llama/llama-3.3-70b-instruct,medium_actions_predicates,0.0016666666666666668,0.002886751345948129,0.0033333333333333335,0.005773502691896258,200.0,200.0
meta-llama/llama-3.3-70b-instruct,medium_objects_names,0.6466666666666666,0.007637626158259701,0.4366666666666667,0.36518260272544933,200.0,200.0
meta-llama/llama-3.3-70b-instruct,medium_predicates_names,0.2333333333333333,0.012583057392117916,0.16,0.12619429464123963,200.0,200.0
meta-llama/llama-3.3-70b-instruct,medium_predicates_objects,0.18000000000000002,0.010000000000000002,0.12833333333333333,0.09827681991870378,200.0,200.0
meta-llama/llama-3.3-70b-instruct,superhard,0.0,0.0,0.0033333333333333335,0.005773502691896258,200.0,200.0
qwen/qwen3-32b,easy_actions,0.7766666666666667,0.007637626158259795,0.5233333333333333,0.4445878240947826,200.0,199.0
qwen/qwen3-32b,easy_names,0.7233333333333333,0.011547005383792535,0.48,0.4158124577258358,200.0,200.0
qwen/qwen3-32b,easy_objects,0.53,0.027838821814150105,0.3466666666666667,0.2917333257160267,200.0,199.0
qwen/qwen3-32b,easy_predicates,0.6916666666666665,0.0028867513459481155,0.4633333333333333,0.39693618294800653,200.0,197.0
qwen/qwen3-32b,hard_actions_objects_names,0.6633333333333334,0.007637626158259719,0.4466666666666667,0.37390952559855084,200.0,197.33333333333334
qwen/qwen3-32b,hard_actions_predicates_names,0.08,0.0,0.055,0.04330127018922194,200.0,192.66666666666666
qwen/qwen3-32b,hard_actions_predicates_objects,0.11666666666666668,0.017559422921421233,0.07666666666666667,0.05392896562454479,200.0,192.66666666666666
qwen/qwen3-32b,hard_predicates_objects_names,0.5616666666666666,0.028867513459481266,0.38000000000000006,0.330037876614185,200.0,193.33333333333334
qwen/qwen3-32b,medium_actions_names,0.765,0.010000000000000009,0.5083333333333333,0.4359281286328439,200.0,198.66666666666666
qwen/qwen3-32b,medium_actions_objects,0.6683333333333333,0.0028867513459481155,0.45,0.37672934581739187,200.0,198.33333333333334
qwen/qwen3-32b,medium_actions_predicates,0.09000000000000001,0.004999999999999994,0.06333333333333334,0.041932485418030414,200.0,185.0
qwen/qwen3-32b,medium_objects_names,0.585,0.013228756555322985,0.38999999999999996,0.3292415526630865,200.0,199.33333333333334
qwen/qwen3-32b,medium_predicates_names,0.6083333333333333,0.012583057392117871,0.41,0.35510561809129404,200.0,199.33333333333334
qwen/qwen3-32b,medium_predicates_objects,0.7716666666666666,0.01755942292142128,0.515,0.44634627812943617,200.0,197.0
qwen/qwen3-32b,superhard,0.08166666666666667,0.0028867513459481303,0.055,0.04769696007084728,200.0,194.0
qwen/qwen3-32b_reasoning,easy_actions,0.7983333333333333,0.018929694486000865,0.5383333333333333,0.46212372080789504,200.0,200.0
qwen/qwen3-32b_reasoning,easy_names,0.7833333333333333,0.0351188458428424,0.5116666666666667,0.4390425188217348,200.0,200.0
qwen/qwen3-32b_reasoning,easy_objects,0.5933333333333334,0.03547299442298793,0.3983333333333334,0.3338163167571851,200.0,199.66666666666666
qwen/qwen3-32b_reasoning,easy_predicates,0.6166666666666667,0.04907477288111817,0.5850000000000001,0.10392304845413261,200.0,200.0
qwen/qwen3-32b_reasoning,hard_actions_objects_names,0.7116666666666666,0.01040832999733071,0.47333333333333333,0.4056579018499865,200.0,199.66666666666666
qwen/qwen3-32b_reasoning,hard_actions_predicates_names,0.08333333333333333,0.020207259421636904,0.065,0.05196152422706632,200.0,199.33333333333334
qwen/qwen3-32b_reasoning,hard_actions_predicates_objects,0.13,0.0050000000000000044,0.09000000000000001,0.065,200.0,195.33333333333334
qwen/qwen3-32b_reasoning,hard_predicates_objects_names,0.5516666666666666,0.015275252316519395,0.37833333333333335,0.3146956201368766,200.0,199.0
qwen/qwen3-32b_reasoning,medium_actions_names,0.7983333333333333,0.02753785273643048,0.535,0.45549423706562964,200.0,200.0
qwen/qwen3-32b_reasoning,medium_actions_objects,0.6633333333333334,0.020207259421636887,0.4483333333333334,0.3758102358017053,200.0,200.0
qwen/qwen3-32b_reasoning,medium_actions_predicates,0.11333333333333334,0.017559422921421226,0.08166666666666667,0.041633319989322654,200.0,192.66666666666666
qwen/qwen3-32b_reasoning,medium_objects_names,0.5883333333333333,0.0321455025366432,0.40166666666666667,0.33620430296671294,200.0,200.0
qwen/qwen3-32b_reasoning,medium_predicates_names,0.61,0.039051248379533325,0.40166666666666667,0.3453018003621373,200.0,200.0
qwen/qwen3-32b_reasoning,medium_predicates_objects,0.7566666666666667,0.01258305739211796,0.5033333333333333,0.42726845581359424,200.0,199.0
qwen/qwen3-32b_reasoning,superhard,0.07666666666666666,0.015275252316519465,0.05499999999999999,0.03774917217635375,200.0,195.0
