Engine,Base_Experiment,Run,Orig Correct,Clean Correct,Recorded Instances,Expected Instances,Run_Orig_Accuracy,Run_Clean_Accuracy
Qwen/Qwen2.5-32B-Instruct_vllm,medium_actions_objects,run3,10,10,200,200,0.05,0.05
Qwen/Qwen2.5-32B-Instruct_vllm,medium_actions_predicates,run1,9,9,200,200,0.045,0.045
Qwen/Qwen2.5-32B-Instruct_vllm,medium_actions_predicates,run2,8,8,200,200,0.04,0.04
Qwen/Qwen2.5-32B-Instruct_vllm,medium_actions_predicates,run3,8,8,200,200,0.04,0.04
Qwen/Qwen2.5-32B-Instruct_vllm,medium_objects_names,run1,43,43,200,200,0.215,0.215
Qwen/Qwen2.5-32B-Instruct_vllm,medium_objects_names,run2,44,44,200,200,0.22,0.22
Qwen/Qwen2.5-32B-Instruct_vllm,medium_objects_names,run3,41,41,200,200,0.205,0.205
Qwen/Qwen2.5-32B-Instruct_vllm,medium_predicates_names,run1,33,33,200,200,0.165,0.165
Qwen/Qwen2.5-32B-Instruct_vllm,medium_predicates_names,run2,30,30,200,200,0.15,0.15
Qwen/Qwen2.5-32B-Instruct_vllm,medium_predicates_names,run3,33,33,200,200,0.165,0.165
Qwen/Qwen2.5-32B-Instruct_vllm,medium_predicates_objects,run1,35,35,200,200,0.175,0.175
Qwen/Qwen2.5-32B-Instruct_vllm,medium_predicates_objects,run2,36,36,200,200,0.18,0.18
Qwen/Qwen2.5-32B-Instruct_vllm,medium_predicates_objects,run3,32,32,200,200,0.16,0.16
Qwen/Qwen2.5-32B-Instruct_vllm,superhard,run1,6,6,200,200,0.03,0.03
Qwen/Qwen2.5-32B-Instruct_vllm,superhard,run2,6,6,200,200,0.03,0.03
Qwen/Qwen2.5-32B-Instruct_vllm,superhard,run3,6,6,200,200,0.03,0.03
deepseek/deepseek-r1-distill-llama-70b,easy_actions,run1,74,88,200,200,0.37,0.44
deepseek/deepseek-r1-distill-llama-70b,easy_actions,run2,80,80,194,200,0.4,0.4
deepseek/deepseek-r1-distill-llama-70b,easy_actions,run3,82,84,200,200,0.41,0.42
deepseek/deepseek-r1-distill-llama-70b,easy_names,run1,8,131,200,200,0.04,0.655
deepseek/deepseek-r1-distill-llama-70b,easy_names,run2,133,133,198,200,0.665,0.665
deepseek/deepseek-r1-distill-llama-70b,easy_names,run3,141,141,200,200,0.705,0.705
deepseek/deepseek-r1-distill-llama-70b,easy_objects,run1,23,95,199,200,0.115,0.475
deepseek/deepseek-r1-distill-llama-70b,easy_objects,run2,94,94,197,200,0.47,0.47
deepseek/deepseek-r1-distill-llama-70b,easy_objects,run3,95,95,200,200,0.475,0.475
deepseek/deepseek-r1-distill-llama-70b,easy_predicates,run1,71,71,196,200,0.355,0.355
deepseek/deepseek-r1-distill-llama-70b,easy_predicates,run2,74,74,192,200,0.37,0.37
deepseek/deepseek-r1-distill-llama-70b,easy_predicates,run3,70,70,200,200,0.35,0.35
deepseek/deepseek-r1-distill-llama-70b,hard_actions_objects_names,run1,8,78,199,200,0.04,0.39
deepseek/deepseek-r1-distill-llama-70b,hard_actions_objects_names,run2,80,80,189,200,0.4,0.4
deepseek/deepseek-r1-distill-llama-70b,hard_actions_objects_names,run3,79,80,196,200,0.395,0.4
deepseek/deepseek-r1-distill-llama-70b,hard_actions_predicates_names,run1,4,16,199,200,0.02,0.08
deepseek/deepseek-r1-distill-llama-70b,hard_actions_predicates_names,run2,18,18,189,200,0.09,0.09
deepseek/deepseek-r1-distill-llama-70b,hard_actions_predicates_names,run3,17,17,200,200,0.085,0.085
deepseek/deepseek-r1-distill-llama-70b,hard_actions_predicates_objects,run1,3,36,200,200,0.015,0.18
deepseek/deepseek-r1-distill-llama-70b,hard_actions_predicates_objects,run2,22,22,194,200,0.11,0.11
deepseek/deepseek-r1-distill-llama-70b,hard_actions_predicates_objects,run3,22,22,154,200,0.11,0.11
deepseek/deepseek-r1-distill-llama-70b,hard_predicates_objects_names,run1,8,38,197,200,0.04,0.19
deepseek/deepseek-r1-distill-llama-70b,hard_predicates_objects_names,run2,39,39,192,200,0.195,0.195
deepseek/deepseek-r1-distill-llama-70b,hard_predicates_objects_names,run3,35,35,199,200,0.175,0.175
deepseek/deepseek-r1-distill-llama-70b,medium_actions_names,run1,17,91,196,200,0.085,0.455
deepseek/deepseek-r1-distill-llama-70b,medium_actions_names,run2,77,77,195,200,0.385,0.385
deepseek/deepseek-r1-distill-llama-70b,medium_actions_names,run3,98,98,199,200,0.49,0.49
deepseek/deepseek-r1-distill-llama-70b,medium_actions_objects,run1,4,71,199,200,0.02,0.355
deepseek/deepseek-r1-distill-llama-70b,medium_actions_objects,run2,63,63,192,200,0.315,0.315
deepseek/deepseek-r1-distill-llama-70b,medium_actions_objects,run3,71,74,197,200,0.355,0.37
deepseek/deepseek-r1-distill-llama-70b,medium_actions_predicates,run1,4,28,199,200,0.02,0.14
deepseek/deepseek-r1-distill-llama-70b,medium_actions_predicates,run2,26,26,191,200,0.13,0.13
deepseek/deepseek-r1-distill-llama-70b,medium_actions_predicates,run3,22,22,200,200,0.11,0.11
deepseek/deepseek-r1-distill-llama-70b,medium_objects_names,run1,11,107,198,200,0.055,0.535
deepseek/deepseek-r1-distill-llama-70b,medium_objects_names,run2,120,120,198,200,0.6,0.6
deepseek/deepseek-r1-distill-llama-70b,medium_objects_names,run3,101,101,200,200,0.505,0.505
deepseek/deepseek-r1-distill-llama-70b,medium_predicates_names,run1,10,73,200,200,0.05,0.365
deepseek/deepseek-r1-distill-llama-70b,medium_predicates_names,run2,67,67,193,200,0.335,0.335
deepseek/deepseek-r1-distill-llama-70b,medium_predicates_names,run3,82,82,199,200,0.41,0.41
deepseek/deepseek-r1-distill-llama-70b,medium_predicates_objects,run1,10,81,199,200,0.05,0.405
deepseek/deepseek-r1-distill-llama-70b,medium_predicates_objects,run2,78,78,191,200,0.39,0.39
deepseek/deepseek-r1-distill-llama-70b,medium_predicates_objects,run3,73,76,198,200,0.365,0.38
deepseek/deepseek-r1-distill-llama-70b,superhard,run1,3,9,196,200,0.015,0.045
deepseek/deepseek-r1-distill-llama-70b,superhard,run2,9,9,186,200,0.045,0.045
deepseek/deepseek-r1-distill-llama-70b,superhard,run3,9,9,200,200,0.045,0.045
gpt-4.1-mini,easy_actions,run1,21,25,200,200,0.105,0.125
gpt-4.1-mini,easy_actions,run2,25,25,200,200,0.125,0.125
gpt-4.1-mini,easy_actions,run3,21,21,200,200,0.105,0.105
gpt-4.1-mini,easy_names,run1,51,60,200,200,0.255,0.3
gpt-4.1-mini,easy_names,run2,65,65,200,200,0.325,0.325
gpt-4.1-mini,easy_names,run3,59,59,200,200,0.295,0.295
gpt-4.1-mini,easy_objects,run1,42,69,200,200,0.21,0.345
gpt-4.1-mini,easy_objects,run2,72,72,200,200,0.36,0.36
gpt-4.1-mini,easy_objects,run3,56,70,200,200,0.28,0.35
gpt-4.1-mini,easy_predicates,run1,10,15,200,200,0.05,0.075
gpt-4.1-mini,easy_predicates,run2,9,9,200,200,0.045,0.045
gpt-4.1-mini,easy_predicates,run3,7,10,200,200,0.035,0.05
gpt-4.1-mini,hard_actions_objects_names,run1,13,16,200,200,0.065,0.08
gpt-4.1-mini,hard_actions_objects_names,run2,11,11,200,200,0.055,0.055
gpt-4.1-mini,hard_actions_objects_names,run3,16,16,200,200,0.08,0.08
gpt-4.1-mini,hard_actions_predicates_names,run1,0,2,200,200,0.0,0.01
gpt-4.1-mini,hard_actions_predicates_names,run2,0,0,200,200,0.0,0.0
gpt-4.1-mini,hard_actions_predicates_names,run3,1,1,200,200,0.005,0.005
gpt-4.1-mini,hard_actions_predicates_objects,run1,2,1,200,200,0.01,0.005
gpt-4.1-mini,hard_actions_predicates_objects,run2,1,1,200,200,0.005,0.005
gpt-4.1-mini,hard_actions_predicates_objects,run3,1,1,200,200,0.005,0.005
gpt-4.1-mini,hard_predicates_objects_names,run1,13,18,200,200,0.065,0.09
gpt-4.1-mini,hard_predicates_objects_names,run2,16,16,200,200,0.08,0.08
gpt-4.1-mini,hard_predicates_objects_names,run3,21,21,200,200,0.105,0.105
gpt-4.1-mini,medium_actions_names,run1,10,21,200,200,0.05,0.105
gpt-4.1-mini,medium_actions_names,run2,11,11,200,200,0.055,0.055
gpt-4.1-mini,medium_actions_names,run3,9,9,200,200,0.045,0.045
gpt-4.1-mini,medium_actions_objects,run1,22,33,200,200,0.11,0.165
gpt-4.1-mini,medium_actions_objects,run2,29,29,200,200,0.145,0.145
gpt-4.1-mini,medium_actions_objects,run3,26,28,200,200,0.13,0.14
gpt-4.1-mini,medium_actions_predicates,run1,0,1,200,200,0.0,0.005
gpt-4.1-mini,medium_actions_predicates,run2,0,0,200,200,0.0,0.0
gpt-4.1-mini,medium_actions_predicates,run3,0,0,200,200,0.0,0.0
gpt-4.1-mini,medium_objects_names,run1,53,64,200,200,0.265,0.32
gpt-4.1-mini,medium_objects_names,run2,55,55,200,200,0.275,0.275
gpt-4.1-mini,medium_objects_names,run3,52,66,200,200,0.26,0.33
gpt-4.1-mini,medium_predicates_names,run1,11,13,200,200,0.055,0.065
gpt-4.1-mini,medium_predicates_names,run2,12,12,200,200,0.06,0.06
gpt-4.1-mini,medium_predicates_names,run3,12,15,200,200,0.06,0.075
gpt-4.1-mini,medium_predicates_objects,run1,23,24,200,200,0.115,0.12
gpt-4.1-mini,medium_predicates_objects,run2,27,27,200,200,0.135,0.135
gpt-4.1-mini,medium_predicates_objects,run3,32,32,200,200,0.16,0.16
gpt-4.1-mini,superhard,run1,1,3,200,200,0.005,0.015
gpt-4.1-mini,superhard,run2,0,0,200,200,0.0,0.0
gpt-4.1-mini,superhard,run3,1,0,200,200,0.005,0.0
gpt-5-mini,easy_actions,run1,176,185,200,200,0.88,0.925
gpt-5-mini,easy_actions,run2,187,187,200,200,0.935,0.935
gpt-5-mini,easy_actions,run3,190,190,200,200,0.95,0.95
gpt-5-mini,easy_names,run1,173,176,200,200,0.865,0.88
gpt-5-mini,easy_names,run2,165,165,200,200,0.825,0.825
gpt-5-mini,easy_names,run3,163,163,200,200,0.815,0.815
gpt-5-mini,easy_objects,run1,171,188,200,200,0.855,0.94
gpt-5-mini,easy_objects,run2,187,187,200,200,0.935,0.935
gpt-5-mini,easy_objects,run3,188,188,200,200,0.94,0.94
gpt-5-mini,easy_predicates,run1,188,193,200,200,0.94,0.965
gpt-5-mini,easy_predicates,run2,194,194,200,200,0.97,0.97
gpt-5-mini,easy_predicates,run3,193,193,200,200,0.965,0.965
gpt-5-mini,hard_actions_objects_names,run1,178,182,200,200,0.89,0.91
gpt-5-mini,hard_actions_objects_names,run2,184,184,200,200,0.92,0.92
gpt-5-mini,hard_actions_objects_names,run3,187,187,200,200,0.935,0.935
gpt-5-mini,hard_actions_predicates_names,run1,170,184,200,200,0.85,0.92
gpt-5-mini,hard_actions_predicates_names,run2,193,193,200,200,0.965,0.965
gpt-5-mini,hard_actions_predicates_names,run3,192,192,200,200,0.96,0.96
gpt-5-mini,hard_actions_predicates_objects,run1,104,111,200,200,0.52,0.555
gpt-5-mini,hard_actions_predicates_objects,run2,123,123,200,200,0.615,0.615
gpt-5-mini,hard_actions_predicates_objects,run3,111,111,200,200,0.555,0.555
gpt-5-mini,hard_predicates_objects_names,run1,181,190,200,200,0.905,0.95
gpt-5-mini,hard_predicates_objects_names,run2,181,181,200,200,0.905,0.905
gpt-5-mini,hard_predicates_objects_names,run3,189,189,200,200,0.945,0.945
gpt-5-mini,medium_actions_names,run1,178,195,200,200,0.89,0.975
gpt-5-mini,medium_actions_names,run2,194,194,200,200,0.97,0.97
gpt-5-mini,medium_actions_names,run3,197,197,200,200,0.985,0.985
gpt-5-mini,medium_actions_objects,run1,136,189,200,200,0.68,0.945
gpt-5-mini,medium_actions_objects,run2,186,186,200,200,0.93,0.93
gpt-5-mini,medium_actions_objects,run3,186,186,200,200,0.93,0.93
gpt-5-mini,medium_actions_predicates,run1,139,155,200,200,0.695,0.775
gpt-5-mini,medium_actions_predicates,run2,165,165,200,200,0.825,0.825
gpt-5-mini,medium_actions_predicates,run3,169,169,200,200,0.845,0.845
gpt-5-mini,medium_objects_names,run1,172,177,200,200,0.86,0.885
gpt-5-mini,medium_objects_names,run2,179,179,200,200,0.895,0.895
gpt-5-mini,medium_objects_names,run3,182,182,200,200,0.91,0.91
gpt-5-mini,medium_predicates_names,run1,175,193,200,200,0.875,0.965
gpt-5-mini,medium_predicates_names,run2,192,192,200,200,0.96,0.96
gpt-5-mini,medium_predicates_names,run3,191,191,200,200,0.955,0.955
gpt-5-mini,medium_predicates_objects,run1,180,191,200,200,0.9,0.955
gpt-5-mini,medium_predicates_objects,run2,195,195,200,200,0.975,0.975
gpt-5-mini,medium_predicates_objects,run3,189,189,200,200,0.945,0.945
gpt-5-mini,superhard,run1,96,111,200,200,0.48,0.555
gpt-5-mini,superhard,run2,91,102,200,200,0.455,0.51
gpt-5-mini,superhard,run3,92,104,200,200,0.46,0.52
meta-llama/llama-3.3-70b-instruct,easy_actions,run1,1,30,200,200,0.005,0.15
meta-llama/llama-3.3-70b-instruct,easy_actions,run2,26,26,200,200,0.13,0.13
meta-llama/llama-3.3-70b-instruct,easy_actions,run3,30,30,200,200,0.15,0.15
meta-llama/llama-3.3-70b-instruct,easy_names,run1,4,127,200,200,0.02,0.635
meta-llama/llama-3.3-70b-instruct,easy_names,run2,116,116,199,200,0.58,0.58
meta-llama/llama-3.3-70b-instruct,easy_names,run3,123,123,200,200,0.615,0.615
meta-llama/llama-3.3-70b-instruct,easy_objects,run1,2,115,200,200,0.01,0.575
meta-llama/llama-3.3-70b-instruct,easy_objects,run2,125,125,200,200,0.625,0.625
meta-llama/llama-3.3-70b-instruct,easy_objects,run3,115,115,200,200,0.575,0.575
meta-llama/llama-3.3-70b-instruct,easy_predicates,run1,1,39,200,200,0.005,0.195
meta-llama/llama-3.3-70b-instruct,easy_predicates,run2,36,36,200,200,0.18,0.18
meta-llama/llama-3.3-70b-instruct,easy_predicates,run3,43,43,200,200,0.215,0.215
meta-llama/llama-3.3-70b-instruct,hard_actions_objects_names,run1,3,43,200,200,0.015,0.215
meta-llama/llama-3.3-70b-instruct,hard_actions_objects_names,run2,45,45,200,200,0.225,0.225
meta-llama/llama-3.3-70b-instruct,hard_actions_objects_names,run3,26,39,200,200,0.13,0.195
meta-llama/llama-3.3-70b-instruct,hard_actions_predicates_names,run1,4,2,200,200,0.02,0.01
meta-llama/llama-3.3-70b-instruct,hard_actions_predicates_names,run2,0,0,200,200,0.0,0.0
meta-llama/llama-3.3-70b-instruct,hard_actions_predicates_names,run3,0,0,200,200,0.0,0.0
meta-llama/llama-3.3-70b-instruct,hard_actions_predicates_objects,run1,1,0,200,200,0.005,0.0
meta-llama/llama-3.3-70b-instruct,hard_actions_predicates_objects,run2,0,0,200,200,0.0,0.0
meta-llama/llama-3.3-70b-instruct,hard_actions_predicates_objects,run3,0,0,200,200,0.0,0.0
meta-llama/llama-3.3-70b-instruct,hard_predicates_objects_names,run1,2,18,200,200,0.01,0.09
meta-llama/llama-3.3-70b-instruct,hard_predicates_objects_names,run2,14,14,200,200,0.07,0.07
meta-llama/llama-3.3-70b-instruct,hard_predicates_objects_names,run3,17,17,200,200,0.085,0.085
meta-llama/llama-3.3-70b-instruct,medium_actions_names,run1,2,7,200,200,0.01,0.035
meta-llama/llama-3.3-70b-instruct,medium_actions_names,run2,8,8,200,200,0.04,0.04
meta-llama/llama-3.3-70b-instruct,medium_actions_names,run3,9,9,200,200,0.045,0.045
meta-llama/llama-3.3-70b-instruct,medium_actions_objects,run1,4,47,200,200,0.02,0.235
meta-llama/llama-3.3-70b-instruct,medium_actions_objects,run2,43,43,200,200,0.215,0.215
meta-llama/llama-3.3-70b-instruct,medium_actions_objects,run3,42,42,200,200,0.21,0.21
meta-llama/llama-3.3-70b-instruct,medium_actions_predicates,run1,2,1,200,200,0.01,0.005
meta-llama/llama-3.3-70b-instruct,medium_actions_predicates,run2,0,0,200,200,0.0,0.0
meta-llama/llama-3.3-70b-instruct,medium_actions_predicates,run3,0,0,200,200,0.0,0.0
meta-llama/llama-3.3-70b-instruct,medium_objects_names,run1,3,128,200,200,0.015,0.64
meta-llama/llama-3.3-70b-instruct,medium_objects_names,run2,129,129,200,200,0.645,0.645
meta-llama/llama-3.3-70b-instruct,medium_objects_names,run3,130,131,200,200,0.65,0.655
meta-llama/llama-3.3-70b-instruct,medium_predicates_names,run1,3,47,200,200,0.015,0.235
meta-llama/llama-3.3-70b-instruct,medium_predicates_names,run2,49,49,200,200,0.245,0.245
meta-llama/llama-3.3-70b-instruct,medium_predicates_names,run3,44,44,200,200,0.22,0.22
meta-llama/llama-3.3-70b-instruct,medium_predicates_objects,run1,3,34,200,200,0.015,0.17
meta-llama/llama-3.3-70b-instruct,medium_predicates_objects,run2,38,38,200,200,0.19,0.19
meta-llama/llama-3.3-70b-instruct,medium_predicates_objects,run3,36,36,200,200,0.18,0.18
meta-llama/llama-3.3-70b-instruct,superhard,run1,2,0,200,200,0.01,0.0
meta-llama/llama-3.3-70b-instruct,superhard,run2,0,0,200,200,0.0,0.0
meta-llama/llama-3.3-70b-instruct,superhard,run3,0,0,200,200,0.0,0.0
qwen/qwen3-32b,easy_actions,run1,2,154,199,200,0.01,0.77
qwen/qwen3-32b,easy_actions,run2,155,155,199,200,0.775,0.775
qwen/qwen3-32b,easy_actions,run3,157,157,199,200,0.785,0.785
qwen/qwen3-32b,easy_names,run1,0,146,200,200,0.0,0.73
qwen/qwen3-32b,easy_names,run2,142,142,200,200,0.71,0.71
qwen/qwen3-32b,easy_names,run3,146,146,200,200,0.73,0.73
qwen/qwen3-32b,easy_objects,run1,2,112,199,200,0.01,0.56
qwen/qwen3-32b,easy_objects,run2,105,105,199,200,0.525,0.525
qwen/qwen3-32b,easy_objects,run3,101,101,199,200,0.505,0.505
qwen/qwen3-32b,easy_predicates,run1,1,138,197,200,0.005,0.69
qwen/qwen3-32b,easy_predicates,run2,138,138,197,200,0.69,0.69
qwen/qwen3-32b,easy_predicates,run3,139,139,197,200,0.695,0.695
qwen/qwen3-32b,hard_actions_objects_names,run1,3,133,197,200,0.015,0.665
qwen/qwen3-32b,hard_actions_objects_names,run2,134,134,197,200,0.67,0.67
qwen/qwen3-32b,hard_actions_objects_names,run3,131,131,198,200,0.655,0.655
qwen/qwen3-32b,hard_actions_predicates_names,run1,1,16,193,200,0.005,0.08
qwen/qwen3-32b,hard_actions_predicates_names,run2,16,16,193,200,0.08,0.08
qwen/qwen3-32b,hard_actions_predicates_names,run3,16,16,192,200,0.08,0.08
qwen/qwen3-32b,hard_actions_predicates_objects,run1,3,27,191,200,0.015,0.135
qwen/qwen3-32b,hard_actions_predicates_objects,run2,20,20,192,200,0.1,0.1
qwen/qwen3-32b,hard_actions_predicates_objects,run3,23,23,195,200,0.115,0.115
qwen/qwen3-32b,hard_predicates_objects_names,run1,0,109,193,200,0.0,0.545
qwen/qwen3-32b,hard_predicates_objects_names,run2,109,109,193,200,0.545,0.545
qwen/qwen3-32b,hard_predicates_objects_names,run3,119,119,194,200,0.595,0.595
qwen/qwen3-32b,medium_actions_names,run1,1,155,199,200,0.005,0.775
qwen/qwen3-32b,medium_actions_names,run2,151,151,198,200,0.755,0.755
qwen/qwen3-32b,medium_actions_names,run3,153,153,199,200,0.765,0.765
qwen/qwen3-32b,medium_actions_objects,run1,3,134,198,200,0.015,0.67
qwen/qwen3-32b,medium_actions_objects,run2,134,134,198,200,0.67,0.67
qwen/qwen3-32b,medium_actions_objects,run3,133,133,199,200,0.665,0.665
qwen/qwen3-32b,medium_actions_predicates,run1,3,19,185,200,0.015,0.095
qwen/qwen3-32b,medium_actions_predicates,run2,17,17,182,200,0.085,0.085
qwen/qwen3-32b,medium_actions_predicates,run3,18,18,188,200,0.09,0.09
qwen/qwen3-32b,medium_objects_names,run1,2,119,199,200,0.01,0.595
qwen/qwen3-32b,medium_objects_names,run2,114,114,199,200,0.57,0.57
qwen/qwen3-32b,medium_objects_names,run3,118,118,200,200,0.59,0.59
qwen/qwen3-32b,medium_predicates_names,run1,0,119,199,200,0.0,0.595
qwen/qwen3-32b,medium_predicates_names,run2,122,122,199,200,0.61,0.61
qwen/qwen3-32b,medium_predicates_names,run3,124,124,200,200,0.62,0.62
qwen/qwen3-32b,medium_predicates_objects,run1,0,154,197,200,0.0,0.77
qwen/qwen3-32b,medium_predicates_objects,run2,151,151,194,200,0.755,0.755
qwen/qwen3-32b,medium_predicates_objects,run3,158,158,200,200,0.79,0.79
qwen/qwen3-32b,superhard,run1,0,16,194,200,0.0,0.08
qwen/qwen3-32b,superhard,run2,17,17,193,200,0.085,0.085
qwen/qwen3-32b,superhard,run3,16,16,195,200,0.08,0.08
qwen/qwen3-32b_reasoning,easy_actions,run1,1,157,200,200,0.005,0.785
qwen/qwen3-32b_reasoning,easy_actions,run2,164,164,200,200,0.82,0.82
qwen/qwen3-32b_reasoning,easy_actions,run3,158,158,200,200,0.79,0.79
qwen/qwen3-32b_reasoning,easy_names,run1,1,164,200,200,0.005,0.82
qwen/qwen3-32b_reasoning,easy_names,run2,150,150,200,200,0.75,0.75
qwen/qwen3-32b_reasoning,easy_names,run3,156,156,200,200,0.78,0.78
qwen/qwen3-32b_reasoning,easy_objects,run1,3,120,200,200,0.015,0.6
qwen/qwen3-32b_reasoning,easy_objects,run2,125,125,199,200,0.625,0.625
qwen/qwen3-32b_reasoning,easy_objects,run3,111,111,200,200,0.555,0.555
qwen/qwen3-32b_reasoning,easy_predicates,run1,93,112,200,200,0.465,0.56
qwen/qwen3-32b_reasoning,easy_predicates,run2,129,129,200,200,0.645,0.645
qwen/qwen3-32b_reasoning,easy_predicates,run3,129,129,200,200,0.645,0.645
qwen/qwen3-32b_reasoning,hard_actions_objects_names,run1,1,144,200,200,0.005,0.72
qwen/qwen3-32b_reasoning,hard_actions_objects_names,run2,143,143,199,200,0.715,0.715
qwen/qwen3-32b_reasoning,hard_actions_objects_names,run3,140,140,200,200,0.7,0.7
qwen/qwen3-32b_reasoning,hard_actions_predicates_names,run1,1,12,199,200,0.005,0.06
qwen/qwen3-32b_reasoning,hard_actions_predicates_names,run2,19,19,199,200,0.095,0.095
qwen/qwen3-32b_reasoning,hard_actions_predicates_names,run3,19,19,200,200,0.095,0.095
qwen/qwen3-32b_reasoning,hard_actions_predicates_objects,run1,3,27,198,200,0.015,0.135
qwen/qwen3-32b_reasoning,hard_actions_predicates_objects,run2,25,25,196,200,0.125,0.125
qwen/qwen3-32b_reasoning,hard_actions_predicates_objects,run3,26,26,192,200,0.13,0.13
qwen/qwen3-32b_reasoning,hard_predicates_objects_names,run1,3,107,199,200,0.015,0.535
qwen/qwen3-32b_reasoning,hard_predicates_objects_names,run2,113,113,198,200,0.565,0.565
qwen/qwen3-32b_reasoning,hard_predicates_objects_names,run3,111,111,200,200,0.555,0.555
qwen/qwen3-32b_reasoning,medium_actions_names,run1,2,160,200,200,0.01,0.8
qwen/qwen3-32b_reasoning,medium_actions_names,run2,165,165,200,200,0.825,0.825
qwen/qwen3-32b_reasoning,medium_actions_names,run3,154,154,200,200,0.77,0.77
qwen/qwen3-32b_reasoning,medium_actions_objects,run1,3,132,200,200,0.015,0.66
qwen/qwen3-32b_reasoning,medium_actions_objects,run2,129,129,200,200,0.645,0.645
qwen/qwen3-32b_reasoning,medium_actions_objects,run3,137,137,200,200,0.685,0.685
qwen/qwen3-32b_reasoning,medium_actions_predicates,run1,7,26,195,200,0.035,0.13
qwen/qwen3-32b_reasoning,medium_actions_predicates,run2,23,23,183,200,0.115,0.115
qwen/qwen3-32b_reasoning,medium_actions_predicates,run3,19,19,200,200,0.095,0.095
qwen/qwen3-32b_reasoning,medium_objects_names,run1,3,115,200,200,0.015,0.575
qwen/qwen3-32b_reasoning,medium_objects_names,run2,125,125,200,200,0.625,0.625
qwen/qwen3-32b_reasoning,medium_objects_names,run3,113,113,200,200,0.565,0.565
qwen/qwen3-32b_reasoning,medium_predicates_names,run1,1,126,200,200,0.005,0.63
qwen/qwen3-32b_reasoning,medium_predicates_names,run2,127,127,200,200,0.635,0.635
qwen/qwen3-32b_reasoning,medium_predicates_names,run3,113,113,200,200,0.565,0.565
qwen/qwen3-32b_reasoning,medium_predicates_objects,run1,2,154,200,200,0.01,0.77
qwen/qwen3-32b_reasoning,medium_predicates_objects,run2,149,149,197,200,0.745,0.745
qwen/qwen3-32b_reasoning,medium_predicates_objects,run3,151,151,200,200,0.755,0.755
qwen/qwen3-32b_reasoning,superhard,run1,3,16,192,200,0.015,0.08
